JN558040.1_Symbiodinium_sp._C1	KR996308.1_Symbiodinium_thermophilum	JN558045.1_Symbiodinium_sp._C90	JN558048.1_Symbiodinium_sp._C91	JN558042.1_Symbiodinium_sp._C15	JN558051.1_Symbiodinium_sp._H1	JN558053.1_Symbiodinium_sp._H1a	AJ291513.1_Symbiodinium_sp._clade_H_751	AJ621148.1_Symbiodinium_sp._H_isolate_FL34_1286x	AJ291520.2_Symbiodinium_sp._clade_H_isolate_1678J	MT015652.1_Symbiodinium_sp_P1C4_Clade_H_Heron_Island	JQ247043.1_Symbiodinium_sp._F2	JQ247044.1_Symbiodinium_sp._F2ae	AJ830912.1_Symbiodinium_sp._clade_F_isolate_El67b_1335j	AJ830914.1_Symbiodinium_sp._clade_F_El52_1320j	JQ247046.1_Symbiodinium_sp._F3.2	AJ872076.1_Symbiodinium_sp._clade_F_isolate_MS8_5243X	AJ830916.1_Symbiodinium_sp._clade_F_isolate_MS26_5244x	MT015653.1_Symbiodinium_sp_P2D2_Clade_Fr3_Heron_Island	JQ247045.1_Symbiodinium_sp._F3.1a	AJ308895.1_Symbiodinium_sp._FG188C1	AJ291525.1_Symbiodinium_sp._clade_F_isolate_1635_	MT015654.1_Symbiodinium_sp_P1G6_Clade_Fr3_Heron_Island	JQ247047.1_Symbiodinium_sp._F4.1	AJ621146.1_Symbiodinium_sp._F_isolate_FL77_1349x	JQ247048.1_Symbiodinium_sp._F4.8	AJ621145.1_Symbiodinium_sp._F_isolate_FL74_1334x	AJ291527.1_Symbiodinium_sp._F_isolate_836	AJ621135.1_Symbiodinium_sp._F_isolate_PC227_1628x	LK934666.1_Symbiodinium_kawagutii	JN558066.1_Symbiodinium_sp._F1	JN558072.1_Symbiodinium_sp._F5.2g	AJ872077.1_Symbiodinium_sp._clade_F_isolate_RII40_971X	JN558063.1_Symbiodinium_sp._F5.1	JN558069.1_Symbiodinium_sp._F5.1d	KT149349.1_Symbiodinium_minutum_strain_Mf	KT149346.1_Symbiodinium_antillogorgium	KT149350.1_Symbiodinium_pseudominutum	KT149347.1_Symbiodinium_endomadracis	LK934671.1_Symbiodinium_psygmophilum	KT149345.1_Symbiodinium_aenigmaticum	FN561559.1_Symbiodinium_sp._nr_I1	FN561560.1_Symbiodinium_sp._nr_I2	LC503502.1	LC503503.1	LC503504.1	LC503505.1	KY131782.1_Symbiodinium_glynnii	KF740686.1_Symbiodinium_sp._D8	JN558078.1_Symbiodinium_sp._D1a	KF740688.1_Symbiodinium_sp._D15	JQ247049.1_Symbiodinium_sp._D1.1	JN558081.1_Symbiodinium_sp._D1.2	KM972549.1_Symbiodinium_microadriaticum	KP114226.1_Symbiodinium_sp._TLJ_2015c_strain_CCMP_2469	JN558094.1_Symbiodinium_sp._A13	KM816405.1_Symbiodinium_sp._TLJ_2015a_strain_CCMP_832	JN558091.1_Symbiodinium_sp._A3	KF740671.1_Symbiodinium_pilosum	JN558097.1_Symbiodinium_sp._A2	JN558100.1_Symbiodinium_sp._A2	JN558103.1_Protodinium_simplex	JN558084.1_Symbiodinium_sp._E1	HF568830.1_Symbiodinium_voratum	JN558089.1_Symbiodinium_sp._G2	JN558088.1_Symbiodinium_sp._G2b	MF322789.1_Symbiodinium_endoclionum	MF322787.1_Symbiodinium_spongiolum	KF740677.1_Symbiodinium_sp._C7a
MT015652.1_Symbiodinium_sp_P1C4_Clade_H_Heron_Island	0.0786083169	0.0786083169	0.0786073147	0.0769403345	0.0770181576	0.0364522895	0.0345923566	0.0345923566	0.0383236435	0.0440439264	0	0.2345686081	0.2413147442	0.2586858194	0.25527589	0.1631586978	0.1614950137	0.1614950137	0.1649859127	0.1720142201	0.1703514713	0.1686968976	0.1629173651	0.2121031255	0.2053022105	0.2105982741	0.2088433992	0.2088433992	0.208842397	0.2141523864	0.2055904066	0.1903695043	0.1971735787	0.1927500639	0.1909927699	0.227997211	0.227997211	0.2263067707	0.2263067707	0.2211923598	0.2245911631	0.2559013617	0.2543838997	0.3019911738	0.3019940356	0.2969693792	0.2953041508	0.3502692416	0.3486126848	0.3486116826	0.3502650315	0.3168445706	0.3003121581	0.4998544129	0.501504015	0.501504015	0.5030460364	0.5047018322	0.4966157118	0.4949675776	0.4966161236	0.639080626	0.4988577426	0.4972033298	0.4488223571	0.4454625482	0.4139290366	0.4172896157	0.0889873977
JQ247043.1_Symbiodinium_sp._F2	0.2304741112	0.2304741112	0.230473109	0.2288061288	0.2288839519	0.2389534218	0.2370934889	0.2370934889	0.2408247758	0.2465450587	0.2345686081	0	0.0067513173	0.0241223925	0.0207124631	0.0787842873	0.0771206032	0.0771206032	0.0832596672	0.0970227582	0.0953600094	0.0937054357	0.1030771858	0.2284702642	0.2216693492	0.2269654128	0.2252105379	0.2252105379	0.2252095357	0.2601063215	0.2515443417	0.2363234394	0.2431275138	0.238703999	0.236946705	0.2896045583	0.2896045583	0.287914118	0.287914118	0.2827997071	0.2861985104	0.3578550858	0.3563376238	0.4039448979	0.4039477597	0.3989231033	0.3972578749	0.4522229657	0.4505664089	0.4505654067	0.4522187556	0.4187982947	0.4022658822	0.601808137	0.6034577391	0.6034577391	0.6049997605	0.6066555563	0.5985694359	0.5969213017	0.5985698477	0.7410343501	0.6008114667	0.5991570539	0.5507760812	0.5474162723	0.5158827607	0.5192433398	0.240853192
JQ247044.1_Symbiodinium_sp._F2ae	0.2372202473	0.2372202473	0.2372192451	0.2355522649	0.235630088	0.2456995579	0.243839625	0.243839625	0.2475709119	0.2532911948	0.2413147442	0.0067513173	0	0.020772534	0.0173626046	0.0855304234	0.0838667393	0.0838667393	0.0900058033	0.1037688943	0.1021061455	0.1004515718	0.1098233219	0.2352164003	0.2284154853	0.2337115489	0.231956674	0.231956674	0.2319556718	0.2668524576	0.2582904778	0.2430695755	0.2498736499	0.2454501351	0.2436928411	0.2963506944	0.2963506944	0.2946602541	0.2946602541	0.2895458432	0.2929446465	0.3646012219	0.3630837599	0.410691034	0.4106938958	0.4056692394	0.404004011	0.4589691018	0.457312545	0.4573115428	0.4589648917	0.4255444308	0.4090120183	0.6085542731	0.6102038752	0.6102038752	0.6117458966	0.6134016924	0.605315572	0.6036674378	0.6053159838	0.7477804862	0.6075576028	0.60590319	0.5575222173	0.5541624084	0.5226288968	0.5259894759	0.2475993281
AJ830912.1_Symbiodinium_sp._clade_F_isolate_El67b_1335j	0.2545913225	0.2545913225	0.2545903203	0.2529233401	0.2530011632	0.2630706331	0.2612107002	0.2612107002	0.2649419871	0.27066227	0.2586858194	0.0241223925	0.020772534	0	0.0034119338	0.1029014986	0.1012378145	0.1012378145	0.1073768785	0.1211399695	0.1194772207	0.117822647	0.1271943971	0.2525874755	0.2457865605	0.2510826241	0.2493277492	0.2493277492	0.249326747	0.2842235328	0.275661553	0.2604406507	0.2672447251	0.2628212103	0.2610639163	0.3137217696	0.3137217696	0.3120313293	0.3120313293	0.3069169184	0.3103157217	0.3819722971	0.3804548351	0.4280621092	0.428064971	0.4230403146	0.4213750862	0.476340177	0.4746836202	0.474682618	0.4763359669	0.442915506	0.4263830935	0.6259253483	0.6275749504	0.6275749504	0.6291169718	0.6307727676	0.6226866472	0.621038513	0.622687059	0.7651515614	0.624928678	0.6232742652	0.5748932925	0.5715334836	0.539999972	0.5433605511	0.2649704033
AJ830914.1_Symbiodinium_sp._clade_F_El52_1320j	0.2511813931	0.2511813931	0.2511803909	0.2495134107	0.2495912338	0.2596607037	0.2578007708	0.2578007708	0.2615320577	0.2672523406	0.25527589	0.0207124631	0.0173626046	0.0034119338	0	0.0994915692	0.0978278851	0.0978278851	0.1039669491	0.1177300401	0.1160672913	0.1144127176	0.1237844677	0.2491775461	0.2423766311	0.2476726947	0.2459178198	0.2459178198	0.2459168176	0.2808136034	0.2722516236	0.2570307213	0.2638347957	0.2594112809	0.2576539869	0.3103118402	0.3103118402	0.3086213999	0.3086213999	0.303506989	0.3069057923	0.3785623677	0.3770449057	0.4246521798	0.4246550416	0.4196303852	0.4179651568	0.4729302476	0.4712736908	0.4712726886	0.4729260375	0.4395055766	0.4229731641	0.6225154189	0.624165021	0.624165021	0.6257070424	0.6273628382	0.6192767178	0.6176285836	0.6192771296	0.761741632	0.6215187486	0.6198643358	0.5714833631	0.5681235542	0.5365900426	0.5399506217	0.2615604739
JQ247046.1_Symbiodinium_sp._F3.2	0.1590642009	0.1590642009	0.1590631987	0.1573962185	0.1574740416	0.1675435115	0.1656835786	0.1656835786	0.1694148655	0.1751351484	0.1631586978	0.0787842873	0.0855304234	0.1029014986	0.0994915692	0	0.0016676929	0.0016676929	0.0118497569	0.0256128479	0.0239500991	0.0222955254	0.0316672755	0.1570603539	0.1502594389	0.1555555025	0.1538006276	0.1538006276	0.1537996254	0.1886964112	0.1801344314	0.1649135291	0.1717176035	0.1672940887	0.1655367947	0.218194648	0.218194648	0.2165042077	0.2165042077	0.2113897968	0.2147886001	0.2864451755	0.2849277135	0.3325349876	0.3325378494	0.327513193	0.3258479646	0.3808130554	0.3791564986	0.3791554964	0.3808088453	0.3473883844	0.3308559719	0.5303982267	0.5320478288	0.5320478288	0.5335898502	0.535245646	0.5271595256	0.5255113914	0.5271599374	0.6696244398	0.5294015564	0.5277471436	0.4793661709	0.476006362	0.4444728504	0.4478334295	0.1694432817
AJ872076.1_Symbiodinium_sp._clade_F_isolate_MS8_5243X	0.1574005168	0.1574005168	0.1573995146	0.1557325344	0.1558103575	0.1658798274	0.1640198945	0.1640198945	0.1677511814	0.1734714643	0.1614950137	0.0771206032	0.0838667393	0.1012378145	0.0978278851	0.0016676929	0	0.0000020044	0.0101860728	0.0239491638	0.022286415	0.0206318413	0.0300035914	0.1553966698	0.1485957548	0.1538918184	0.1521369435	0.1521369435	0.1521359413	0.1870327271	0.1784707473	0.163249845	0.1700539194	0.1656304046	0.1638731106	0.2165309639	0.2165309639	0.2148405236	0.2148405236	0.2097261127	0.213124916	0.2847814914	0.2832640294	0.3308713035	0.3308741653	0.3258495089	0.3241842805	0.3791493713	0.3774928145	0.3774918123	0.3791451612	0.3457247003	0.3291922878	0.5287345426	0.5303841447	0.5303841447	0.5319261661	0.5335819619	0.5254958415	0.5238477073	0.5254962533	0.6679607557	0.5277378723	0.5260834595	0.4777024868	0.4743426779	0.4428091663	0.4461697454	0.1677795976
AJ830916.1_Symbiodinium_sp._clade_F_isolate_MS26_5244x	0.1574005168	0.1574005168	0.1573995146	0.1557325344	0.1558103575	0.1658798274	0.1640198945	0.1640198945	0.1677511814	0.1734714643	0.1614950137	0.0771206032	0.0838667393	0.1012378145	0.0978278851	0.0016676929	0.0000020044	0	0.0101860728	0.0239491638	0.022286415	0.0206318413	0.0300035914	0.1553966698	0.1485957548	0.1538918184	0.1521369435	0.1521369435	0.1521359413	0.1870327271	0.1784707473	0.163249845	0.1700539194	0.1656304046	0.1638731106	0.2165309639	0.2165309639	0.2148405236	0.2148405236	0.2097261127	0.213124916	0.2847814914	0.2832640294	0.3308713035	0.3308741653	0.3258495089	0.3241842805	0.3791493713	0.3774928145	0.3774918123	0.3791451612	0.3457247003	0.3291922878	0.5287345426	0.5303841447	0.5303841447	0.5319261661	0.5335819619	0.5254958415	0.5238477073	0.5254962533	0.6679607557	0.5277378723	0.5260834595	0.4777024868	0.4743426779	0.4428091663	0.4461697454	0.1677795976
MT015653.1_Symbiodinium_sp_P2D2_Clade_Fr3_Heron_Island	0.1608914158	0.1608914158	0.1608904136	0.1592234334	0.1593012565	0.1693707264	0.1675107935	0.1675107935	0.1712420804	0.1769623633	0.1649859127	0.0832596672	0.0900058033	0.1073768785	0.1039669491	0.0118497569	0.0101860728	0.0101860728	0	0.0274400628	0.025777314	0.0241227403	0.0334944904	0.1588875688	0.1520866538	0.1573827174	0.1556278425	0.1556278425	0.1556268403	0.1905236261	0.1819616463	0.166740744	0.1735448184	0.1691213036	0.1673640096	0.2200218629	0.2200218629	0.2183314226	0.2183314226	0.2132170117	0.216615815	0.2882723904	0.2867549284	0.3343622025	0.3343650643	0.3293404079	0.3276751795	0.3826402703	0.3809837135	0.3809827113	0.3826360602	0.3492155993	0.3326831868	0.5322254416	0.5338750437	0.5338750437	0.5354170651	0.5370728609	0.5289867405	0.5273386063	0.5289871523	0.6714516547	0.5312287713	0.5295743585	0.4811933858	0.4778335769	0.4463000653	0.4496606444	0.1712704966
JQ247045.1_Symbiodinium_sp._F3.1a	0.1679197232	0.1679197232	0.167918721	0.1662517408	0.1663295639	0.1763990338	0.1745391009	0.1745391009	0.1782703878	0.1839906707	0.1720142201	0.0970227582	0.1037688943	0.1211399695	0.1177300401	0.0256128479	0.0239491638	0.0239491638	0.0274400628	0	0.004975905	0.0033213313	0.0405227978	0.1659158762	0.1591149612	0.1644110248	0.1626561499	0.1626561499	0.1626551477	0.1975519335	0.1889899537	0.1737690514	0.1805731258	0.176149611	0.174392317	0.2270501703	0.2270501703	0.22535973	0.22535973	0.2202453191	0.2236441224	0.2953006978	0.2937832358	0.3413905099	0.3413933717	0.3363687153	0.3347034869	0.3896685777	0.3880120209	0.3880110187	0.3896643676	0.3562439067	0.3397114942	0.539253749	0.5409033511	0.5409033511	0.5424453725	0.5441011683	0.5360150479	0.5343669137	0.5360154597	0.6784799621	0.5382570787	0.5366026659	0.4882216932	0.4848618843	0.4533283727	0.4566889518	0.178298804
AJ308895.1_Symbiodinium_sp._FG188C1	0.1662569744	0.1662569744	0.1662559722	0.164588992	0.1646668151	0.174736285	0.1728763521	0.1728763521	0.176607639	0.1823279219	0.1703514713	0.0953600094	0.1021061455	0.1194772207	0.1160672913	0.0239500991	0.022286415	0.022286415	0.025777314	0.004975905	0	0.0016565781	0.038860049	0.1642531274	0.1574522124	0.162748276	0.1609934011	0.1609934011	0.1609923989	0.1958891847	0.1873272049	0.1721063026	0.178910377	0.1744868622	0.1727295682	0.2253874215	0.2253874215	0.2236969812	0.2236969812	0.2185825703	0.2219813736	0.293637949	0.292120487	0.3397277611	0.3397306229	0.3347059665	0.3330407381	0.3880058289	0.3863492721	0.3863482699	0.3880016188	0.3545811579	0.3380487454	0.5375910002	0.5392406023	0.5392406023	0.5407826237	0.5424384195	0.5343522991	0.5327041649	0.5343527109	0.6768172133	0.5365943299	0.5349399171	0.4865589444	0.4831991355	0.4516656239	0.455026203	0.1766360552
