file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
C1_14_ITS2_S111_run1_2_R1_001.fastq.gz	FASTQ	DNA	122177	36768807	49	300.9	301
C1_14_ITS2_S111_run1_2_R2_001.fastq.gz	FASTQ	DNA	122177	36762197	49	300.9	301
C1_1_ITS2_S107_run1_2_3_R1_001.fastq.gz	FASTQ	DNA	326269	98203808	267	301.0	301
C1_1_ITS2_S107_run1_2_3_R2_001.fastq.gz	FASTQ	DNA	326269	98179235	267	300.9	301
C1_2_corr_ITS2_S114_run1_2_R1_001.fastq.gz	FASTQ	DNA	133594	40202955	51	300.9	301
C1_2_corr_ITS2_S114_run1_2_R2_001.fastq.gz	FASTQ	DNA	133594	40203298	51	300.9	301
C1_3_ITS2_S108_run1_2_R1_001.fastq.gz	FASTQ	DNA	136896	41144356	296	300.6	301
C1_3_ITS2_S108_run1_2_R2_001.fastq.gz	FASTQ	DNA	136896	41174570	296	300.8	301
C1_5_ITS2_S109_run1_2_R1_001.fastq.gz	FASTQ	DNA	143948	43326958	50	301.0	301
C1_5_ITS2_S109_run1_2_R2_001.fastq.gz	FASTQ	DNA	143948	43320367	50	300.9	301
C1_6_ITS2_S113_run1_2_R1_001.fastq.gz	FASTQ	DNA	116615	35046105	51	300.5	301
C1_6_ITS2_S113_run1_2_R2_001.fastq.gz	FASTQ	DNA	116615	35070996	51	300.7	301
C1_9_ITS2_S110_run1_2_R1_001.fastq.gz	FASTQ	DNA	94854	28549204	43	301.0	301
C1_9_ITS2_S110_run1_2_R2_001.fastq.gz	FASTQ	DNA	94854	28545050	43	300.9	301
C2_14b_ITS2_S121_run1_2_R1_001.fastq.gz	FASTQ	DNA	123144	37064708	51	301.0	301
C2_14b_ITS2_S121_run1_2_R2_001.fastq.gz	FASTQ	DNA	123144	37058633	51	300.9	301
C2_16_ITS2_S122_run1_2_R1_001.fastq.gz	FASTQ	DNA	115234	34683612	51	301.0	301
C2_16_ITS2_S122_run1_2_R2_001.fastq.gz	FASTQ	DNA	115234	34678062	51	300.9	301
C2_18_ITS2_S123_run1_2_R1_001.fastq.gz	FASTQ	DNA	131826	39677992	268	301.0	301
C2_18_ITS2_S123_run1_2_R2_001.fastq.gz	FASTQ	DNA	131826	39671711	268	300.9	301
C2_19_ITS2_S124_run1_2_R1_001.fastq.gz	FASTQ	DNA	107602	32386379	51	301.0	301
C2_19_ITS2_S124_run1_2_R2_001.fastq.gz	FASTQ	DNA	107602	32380617	51	300.9	301
C2_1_ITS2_S115_run1_2_R1_001.fastq.gz	FASTQ	DNA	124522	37422974	49	300.5	301
C2_1_ITS2_S115_run1_2_R2_001.fastq.gz	FASTQ	DNA	124522	37450988	49	300.8	301
C2_2_ITS2_S120_run1_2_R1_001.fastq.gz	FASTQ	DNA	118368	35627742	298	301.0	301
C2_2_ITS2_S120_run1_2_R2_001.fastq.gz	FASTQ	DNA	118368	35621835	296	300.9	301
C2_3_ITS2_S116_run1_2_R1_001.fastq.gz	FASTQ	DNA	98998	29752189	48	300.5	301
C2_3_ITS2_S116_run1_2_R2_001.fastq.gz	FASTQ	DNA	98998	29773931	48	300.8	301
C2_6_ITS2_S117_run1_2_R1_001.fastq.gz	FASTQ	DNA	121583	36589951	49	300.9	301
C2_6_ITS2_S117_run1_2_R2_001.fastq.gz	FASTQ	DNA	121583	36590212	49	300.9	301
C2_7_ITS2_S118_run1_2_R1_001.fastq.gz	FASTQ	DNA	124742	37493502	45	300.6	301
C2_7_ITS2_S118_run1_2_R2_001.fastq.gz	FASTQ	DNA	124742	37514441	45	300.7	301
C2_9_ITS2_S119_run1_2_R1_001.fastq.gz	FASTQ	DNA	151423	45515018	45	300.6	301
C2_9_ITS2_S119_run1_2_R2_001.fastq.gz	FASTQ	DNA	151423	45539651	45	300.7	301
F1_10_ITS2_S141_run1_2_R1_001.fastq.gz	FASTQ	DNA	149912	45053357	296	300.5	301
F1_10_ITS2_S141_run1_2_R2_001.fastq.gz	FASTQ	DNA	149912	45089210	296	300.8	301
F1_12_ITS2_S149_run1_2_R1_001.fastq.gz	FASTQ	DNA	113589	34148025	51	300.6	301
F1_12_ITS2_S149_run1_2_R2_001.fastq.gz	FASTQ	DNA	113589	34179289	51	300.9	301
F1_13_ITS2_S150_run1_2_R1_001.fastq.gz	FASTQ	DNA	111337	33506193	47	300.9	301
F1_13_ITS2_S150_run1_2_R2_001.fastq.gz	FASTQ	DNA	111337	33504847	47	300.9	301
F1_14_ITS2_S151_run1_2_R1_001.fastq.gz	FASTQ	DNA	116419	35002352	46	300.7	301
F1_14_ITS2_S151_run1_2_R2_001.fastq.gz	FASTQ	DNA	116419	35023289	46	300.8	301
F1_2_ITS2_S136_run1_2_R1_001.fastq.gz	FASTQ	DNA	124854	37575143	51	301.0	301
F1_2_ITS2_S136_run1_2_R2_001.fastq.gz	FASTQ	DNA	124854	37576003	51	301.0	301
F1_3_ITS2_S137_run1_2_R1_001.fastq.gz	FASTQ	DNA	114521	34465572	51	301.0	301
F1_3_ITS2_S137_run1_2_R2_001.fastq.gz	FASTQ	DNA	114521	34464383	51	300.9	301
F1_4_ITS2_S138_run1_2_R1_001.fastq.gz	FASTQ	DNA	115012	34562718	51	300.5	301
F1_4_ITS2_S138_run1_2_R2_001.fastq.gz	FASTQ	DNA	115012	34590529	51	300.8	301
F1_5_ITS2_S139_run1_2_R1_001.fastq.gz	FASTQ	DNA	127292	38254095	51	300.5	301
F1_5_ITS2_S139_run1_2_R2_001.fastq.gz	FASTQ	DNA	127292	38284388	51	300.8	301
F1_7_ITS2_S140_run1_2_R1_001.fastq.gz	FASTQ	DNA	125291	37707503	51	301.0	301
F1_7_ITS2_S140_run1_2_R2_001.fastq.gz	FASTQ	DNA	125291	37706492	51	301.0	301
F1_9_ITS2_S148_run1_2_R1_001.fastq.gz	FASTQ	DNA	128618	38665282	51	300.6	301
F1_9_ITS2_S148_run1_2_R2_001.fastq.gz	FASTQ	DNA	128618	38696222	51	300.9	301
F2_1_ITS2_S142_run1_2_R1_001.fastq.gz	FASTQ	DNA	125493	37766568	51	300.9	301
F2_1_ITS2_S142_run1_2_R2_001.fastq.gz	FASTQ	DNA	125493	37765869	50	300.9	301
F2_21_ITS2_S152_run1_2_R1_001.fastq.gz	FASTQ	DNA	123154	37018122	51	300.6	301
F2_21_ITS2_S152_run1_2_R2_001.fastq.gz	FASTQ	DNA	123154	37049155	51	300.8	301
F2_22_ITS2_S153_run1_2_R1_001.fastq.gz	FASTQ	DNA	123178	37020242	51	300.5	301
F2_22_ITS2_S153_run1_2_R2_001.fastq.gz	FASTQ	DNA	123178	37039877	51	300.7	301
F2_29_ITS2_S154_run1_2_R1_001.fastq.gz	FASTQ	DNA	125512	37609634	49	299.6	301
F2_29_ITS2_S154_run1_2_R2_001.fastq.gz	FASTQ	DNA	125512	37630871	49	299.8	301
F2_2_ITS2_S143_run1_2_R1_001.fastq.gz	FASTQ	DNA	112257	33739451	51	300.6	301
F2_2_ITS2_S143_run1_2_R2_001.fastq.gz	FASTQ	DNA	112257	33763951	51	300.8	301
F2_30_ITS2_S146_run1_2_R1_001.fastq.gz	FASTQ	DNA	114272	34343122	292	300.5	301
F2_30_ITS2_S146_run1_2_R2_001.fastq.gz	FASTQ	DNA	114272	34368715	207	300.8	301
F2_31_ITS2_S147_run1_2_R1_001.fastq.gz	FASTQ	DNA	109752	32987014	51	300.6	301
F2_31_ITS2_S147_run1_2_R2_001.fastq.gz	FASTQ	DNA	109752	33007496	51	300.7	301
F2_3_ITS2_S144_run1_2_R1_001.fastq.gz	FASTQ	DNA	118167	35562747	250	301.0	301
F2_3_ITS2_S144_run1_2_R2_001.fastq.gz	FASTQ	DNA	118167	35562933	250	301.0	301
F2_4_ITS2_S145_run1_2_R1_001.fastq.gz	FASTQ	DNA	123907	37236756	51	300.5	301
F2_4_ITS2_S145_run1_2_R2_001.fastq.gz	FASTQ	DNA	123907	37266222	51	300.8	301
F2_5_S72_L001_R1_001.fastq.gz	FASTQ	DNA	144288	43299342	159	300.1	301
F2_5_S72_L001_R2_001.fastq.gz	FASTQ	DNA	144288	43338579	159	300.4	301
F2_6_S73_L001_R1_001.fastq.gz	FASTQ	DNA	138657	41722553	51	300.9	301
F2_6_S73_L001_R2_001.fastq.gz	FASTQ	DNA	138657	41728255	51	300.9	301
S1_5_ITS2_S156_run1_2_R1_001.fastq.gz	FASTQ	DNA	204569	61530138	51	300.8	301
S1_5_ITS2_S156_run1_2_R2_001.fastq.gz	FASTQ	DNA	204569	61542235	51	300.8	301
S1_6_ITS2_S158_run1_2_R1_001.fastq.gz	FASTQ	DNA	246697	74196589	49	300.8	301
S1_6_ITS2_S158_run1_2_R2_001.fastq.gz	FASTQ	DNA	246697	74202490	49	300.8	301
S1_7_ITS2_S160_run1_2_R1_001.fastq.gz	FASTQ	DNA	208042	62586461	51	300.8	301
S1_7_ITS2_S160_run1_2_R2_001.fastq.gz	FASTQ	DNA	208042	62590588	51	300.9	301
S1_8_ITS2_S162_run1_2_R1_001.fastq.gz	FASTQ	DNA	259007	77919227	51	300.8	301
S1_8_ITS2_S162_run1_2_R2_001.fastq.gz	FASTQ	DNA	259007	77926216	51	300.9	301
S2_4_ITS2_S164_run1_2_R1_001.fastq.gz	FASTQ	DNA	227920	68560482	49	300.8	301
S2_4_ITS2_S164_run1_2_R2_001.fastq.gz	FASTQ	DNA	227920	68566316	49	300.8	301
S2_5_ITS2_S166_run1_2_R1_001.fastq.gz	FASTQ	DNA	202148	60801146	48	300.8	301
S2_5_ITS2_S166_run1_2_R2_001.fastq.gz	FASTQ	DNA	202148	60809842	48	300.8	301
S2_6_ITS2_S168_run1_2_R1_001.fastq.gz	FASTQ	DNA	239438	72039531	50	300.9	301
S2_6_ITS2_S168_run1_2_R2_001.fastq.gz	FASTQ	DNA	239438	72041665	50	300.9	301
S2_9_ITS2_S170_run1_2_R1_001.fastq.gz	FASTQ	DNA	253253	76186369	49	300.8	301
S2_9_ITS2_S170_run1_2_R2_001.fastq.gz	FASTQ	DNA	253253	76189814	49	300.8	301
TN1a_ITS2_S127_run1_2_R1_001.fastq.gz	FASTQ	DNA	119449	35919965	198	300.7	301
TN1a_ITS2_S127_run1_2_R2_001.fastq.gz	FASTQ	DNA	119449	35904819	198	300.6	301
TN2a_ITS2_S128_run1_2_R1_001.fastq.gz	FASTQ	DNA	123591	37179442	49	300.8	301
TN2a_ITS2_S128_run1_2_R2_001.fastq.gz	FASTQ	DNA	123591	37116911	49	300.3	301
TN3a_ITS2_S129_run1_2_R1_001.fastq.gz	FASTQ	DNA	125766	37828197	46	300.8	301
TN3a_ITS2_S129_run1_2_R2_001.fastq.gz	FASTQ	DNA	125766	37790963	46	300.5	301
TN4a_ITS2_S130_run1_2_R1_001.fastq.gz	FASTQ	DNA	121320	36480421	51	300.7	301
TN4a_ITS2_S130_run1_2_R2_001.fastq.gz	FASTQ	DNA	121320	36461893	51	300.5	301
TN5a_ITS2_S131_run1_2_R1_001.fastq.gz	FASTQ	DNA	126480	38031722	51	300.7	301
TN5a_ITS2_S131_run1_2_R2_001.fastq.gz	FASTQ	DNA	126480	38016799	51	300.6	301
TN6a_ITS2_S132_run1_2_R1_001.fastq.gz	FASTQ	DNA	122383	36829811	50	300.9	301
TN6a_ITS2_S132_run1_2_R2_001.fastq.gz	FASTQ	DNA	122383	36747158	50	300.3	301
TN7a_ITS2_S133_run1_2_R1_001.fastq.gz	FASTQ	DNA	127709	38433159	51	300.9	301
TN7a_ITS2_S133_run1_2_R2_001.fastq.gz	FASTQ	DNA	127709	38342623	51	300.2	301
TN8a_ITS2_S134_run1_2_R1_001.fastq.gz	FASTQ	DNA	130781	39362433	46	301.0	301
TN8a_ITS2_S134_run1_2_R2_001.fastq.gz	FASTQ	DNA	130781	39263204	46	300.2	301
TN9a_ITS2_S135_run1_2_R1_001.fastq.gz	FASTQ	DNA	122214	36741242	50	300.6	301
TN9a_ITS2_S135_run1_2_R2_001.fastq.gz	FASTQ	DNA	122214	36749659	50	300.7	301
W1_1_ITS2_S171_run1_2_R1_001.fastq.gz	FASTQ	DNA	116508	35038796	49	300.7	301
W1_1_ITS2_S171_run1_2_R2_001.fastq.gz	FASTQ	DNA	116508	35046147	49	300.8	301
W1_2_ITS2_S172_run1_2_R1_001.fastq.gz	FASTQ	DNA	117149	35224793	46	300.7	301
W1_2_ITS2_S172_run1_2_R2_001.fastq.gz	FASTQ	DNA	117149	35231519	46	300.7	301
W1_3_ITS2_S173_run1_2_R1_001.fastq.gz	FASTQ	DNA	118803	35721823	134	300.7	301
W1_3_ITS2_S173_run1_2_R2_001.fastq.gz	FASTQ	DNA	118803	35728703	134	300.7	301
W1_4_ITS2_S174_run1_2_R1_001.fastq.gz	FASTQ	DNA	117335	35287134	45	300.7	301
W1_4_ITS2_S174_run1_2_R2_001.fastq.gz	FASTQ	DNA	117335	35291882	45	300.8	301
W2_5_ITS2_S175_run1_2_R1_001.fastq.gz	FASTQ	DNA	115674	34775430	51	300.6	301
W2_5_ITS2_S175_run1_2_R2_001.fastq.gz	FASTQ	DNA	115674	34789646	51	300.8	301
W2_6_ITS2_S176_run1_2_R1_001.fastq.gz	FASTQ	DNA	107907	32368806	44	300.0	301
W2_6_ITS2_S176_run1_2_R2_001.fastq.gz	FASTQ	DNA	107907	32376904	44	300.0	301
W2_7_ITS2_S177_run1_2_R1_001.fastq.gz	FASTQ	DNA	109402	32895964	210	300.7	301
W2_7_ITS2_S177_run1_2_R2_001.fastq.gz	FASTQ	DNA	109402	32904233	210	300.8	301
W2_8_ITS2_S178_run1_2_R1_001.fastq.gz	FASTQ	DNA	115902	34851174	64	300.7	301
W2_8_ITS2_S178_run1_2_R2_001.fastq.gz	FASTQ	DNA	115902	34857503	64	300.7	301
